label,message
ham,Hey are we still meeting for lunch today?
spam,Congratulations! You have won a free iPhone. Claim now!
ham,Can you send me the notes from class?
spam,URGENT! Your account has been selected for a 5000 cash prize.
ham,Please call me when you reach home.
spam,Win money now!!! Text WIN to 80085.
ham,Don't forget to bring your ID card tomorrow.
spam,Limited offer! Buy now and get 70% discount.
ham,I will be late by 10 minutes.
spam,You have been pre-approved for a loan. Apply instantly.
ham,Happy birthday! Have a great day.
spam,Get cheap meds online without prescription.
ham,Let's study together this evening.
spam,You are a lucky winner of a vacation package.
ham,Thanks for helping me with the assignment.
spam,Click this link to verify your bank details immediately.
ham,I'll text you once I leave the office.
spam,Free ringtone available now. Reply YES.
ham,Mom asked if you can buy milk on your way.
spam,Exclusive deal just for you. Act fast!
